id,title,required_skills,min_experience,required_education,location,career_field,salary,job_type
31,Social Media Manager,facebook ads inbound marketing outbound marketing customer journey mailchimp seo tools,2,Bachelor,Salt Lake City,Marketing,66000,Contract
32,Teacher,educational assessment instructional design educational administration educational leadership,1,Associate,St. Louis,Education,102000,Contract
33,Business Development Manager,sales forecasting account management closing techniques upselling contract negotiation,1,Bachelor,Phoenix,Sales,117000,Full-time
34,Legal Consultant,criminal law arbitration regulatory compliance intellectual property trial experience,7,Master,Remote,Legal,238000,Full-time
35,Brand Manager,hootsuite marketing automation mailchimp copywriting a/b testing analytics,2,Bachelor,Cleveland,Marketing,63000,Full-time
36,Immigration Lawyer,family law civil procedure case management,1,Master,Philadelphia,Legal,80000,Part-time
37,Content Creator,responsive design storyboarding prototyping adobe indesign cinema 4d figma,1,Master,San Diego,Arts & Media,107000,Part-time
38,Digital Marketing Specialist,campaign management influencer marketing public relations outbound marketing content strategy a/b testing,1,High School,Miami,Marketing,120000,Part-time
39,Game Developer,redux oracle pandas aws mysql scikit-learn,2,Bachelor,St. Louis,Software & IT,88000,Full-time
40,Early Childhood Educator,lesson planning academic advising educational assessment,2,PhD,Raleigh,Education,88000,Full-time
41,Sales Representative,negotiation client relationship management presentations contract negotiation,3,Bachelor,Salt Lake City,Sales,80000,Full-time
42,Teaching Assistant,course development lesson planning educational psychology stem education,2,Bachelor,San Antonio,Education,79000,Full-time
43,Judge,due diligence regulatory compliance corporate law litigation courtroom procedure document review,2,Associate,Dallas,Legal,219000,Full-time
44,Backend Developer,redux jenkins hibernate css pandas docker,4,Master,Chicago,Software & IT,116000,Full-time
45,Copywriter,ux design creative direction figma branding adobe indesign adobe photoshop,0,Master,San Antonio,Arts & Media,124000,Full-time
46,Benefits Administrator,adp hr policies diversity & inclusion bamboo hr employee training,2,Bachelor,St. Louis,Human Resources,109000,Full-time
47,Training Specialist,employee relations performance management coaching adp workday talent acquisition,3,Bachelor,Remote,Human Resources,90000,Full-time
48,Physical Therapist,surgery case management medication management,1,Bachelor,Remote,Healthcare,178000,Full-time
49,Data Scientist,flask jenkins postgresql gcp,1,High School,Indianapolis,Software & IT,99000,Part-time
50,Psychologist,rehabilitation medication management laboratory testing medical terminology,3,Bachelor,Boston,Healthcare,266000,Temporary
51,Biomedical Engineer,cad industrial design system design solidworks,0,Bachelor,Pittsburgh,Engineering,140000,Full-time
52,Risk Analyst,financial analysis internal controls audit cash flow analysis,1,Associate,San Jose,Finance,167000,Full-time
53,Industrial Engineer,matlab cad blueprint reading prototyping product development,1,High School,St. Louis,Engineering,78000,Full-time
54,Social Media Manager,seo affiliate marketing market research canva,1,Associate,Cincinnati,Marketing,65000,Contract
55,Loan Officer,forecasting tableau capital markets bloomberg terminal,1,Master,Remote,Finance,155000,Part-time
56,Compensation Analyst,employee engagement labor laws applicant tracking systems conflict resolution,2,Bachelor,Chicago,Human Resources,140000,Part-time
57,Photographer,cinema 4d premiere pro prototyping blender adobe indesign storyboarding,1,Master,St. Louis,Arts & Media,78000,Full-time
58,Legal Assistant,arbitration family law contract law intellectual property document review brief writing,1,Bachelor,St. Louis,Legal,77000,Full-time
59,Advertising Manager,content strategy content creation affiliate marketing adobe creative suite,4,Associate,San Jose,Marketing,115000,Full-time
60,Bookkeeper,audit risk assessment tableau banking,4,Bachelor,Washington DC,Finance,174000,Full-time
61,Math Teacher,stem education educational leadership educational psychology pedagogy differentiated instruction google classroom,2,Bachelor,Baltimore,Education,58000,Full-time
62,Physical Therapist,disease management infection control cpr,1,Bachelor,Philadelphia,Healthcare,136000,Full-time
63,Accountant,budget management pivot tables tableau capital markets accounting risk assessment,5,Master,Austin,Finance,152000,Full-time
64,Loan Officer,forecasting budget management financial statements bloomberg terminal pivot tables,3,Bachelor,Baltimore,Finance,133000,Full-time
65,ML Engineer,docker aws python oracle java pytorch,1,Master,St. Louis,Software & IT,198000,Full-time
66,Marketing Analyst,google analytics influencer marketing copywriting a/b testing,3,Associate,Raleigh,Marketing,169000,Full-time
67,Tax Attorney,client counseling case management legal ethics,4,Bachelor,San Jose,Legal,142000,Full-time
68,Economist,cfa cash flow analysis python accounting,3,Bachelor,Tampa,Finance,95000,Full-time
69,Sales Consultant,closing techniques negotiation customer retention cross-selling,0,Bachelor,Remote,Sales,105000,Full-time
70,Contract Administrator,drafting trial experience client counseling corporate law,1,Bachelor,Nashville,Legal,107000,Full-time
71,Industrial Designer,wireframing adobe photoshop sketch copywriting branding,3,Bachelor,Washington DC,Arts & Media,67000,Temporary
72,Business Development Manager,crm presentations quotas customer retention,0,Bachelor,San Francisco,Sales,68000,Remote
73,Editor,color theory figma cinema 4d typography,1,Bachelor,Miami,Arts & Media,89000,Full-time
74,Employee Relations Manager,employee onboarding change management hr policies,1,Master,Philadelphia,Human Resources,124000,Full-time
75,Criminal Defense Lawyer,legal writing legal analysis criminal law due diligence drafting legal ethics,5,Master,Austin,Legal,176000,Full-time
76,Teaching Assistant,curriculum development educational technology student assessment educational administration,1,Bachelor,Raleigh,Education,112000,Full-time
77,HR Manager,hr policies adp employee onboarding,5,Bachelor,Chicago,Human Resources,135000,Full-time
78,Credit Analyst,r excel power bi investment management financial analysis capital markets,2,Master,Detroit,Finance,85000,Full-time
79,Medical Technologist,cpr laboratory testing psychiatric evaluation infection control surgery,1,Bachelor,Cincinnati,Healthcare,120000,Full-time
80,Business Development Manager,salesforce pipeline management consultative selling b2b sales,7,Bachelor,New York,Sales,86000,Full-time
81,Market Research Analyst,google ads facebook ads public relations affiliate marketing,3,Bachelor,Remote,Marketing,78000,Full-time
82,Network Engineer,rest api scikit-learn .net c++ hibernate,1,High School,Nashville,Software & IT,178000,Temporary
83,Professor,lms stem education differentiated instruction blackboard educational psychology,3,Master,Remote,Education,65000,Full-time
84,Dietitian,infection control medical terminology laboratory testing imaging,1,Bachelor,Atlanta,Healthcare,145000,Full-time
85,Marketing Coordinator,copywriting buffer hootsuite,1,Associate,Philadelphia,Marketing,146000,Contract
86,Electrical Engineer,finite element analysis plc cad fluid dynamics solidworks project management,5,High School,Atlanta,Engineering,163000,Full-time
87,Science Teacher,google classroom educational leadership pedagogy teaching special education,2,High School,Denver,Education,90000,Remote
88,Registered Nurse,healthcare regulations medical terminology preventive care psychiatric evaluation laboratory testing patient assessment,1,Master,Washington DC,Healthcare,242000,Full-time
89,Automotive Engineer,microcontrollers solidworks industrial design quality assurance,3,Associate,Orlando,Engineering,92000,Full-time
90,Marketing Analyst,hootsuite mailchimp customer journey seo tools outbound marketing,1,Associate,Remote,Marketing,107000,Full-time
91,Organizational Development Specialist,diversity & inclusion coaching payroll processing benefits administration,1,PhD,Philadelphia,Human Resources,68000,Full-time
92,Frontend Developer,.net mysql javascript tensorflow c++,12,High School,Indianapolis,Software & IT,138000,Full-time
93,Dietitian,patient care medication management medical terminology infection control,1,Bachelor,Boston,Healthcare,301000,Full-time
94,UI/UX Developer,spring node.js c++ graphql,1,Associate,Raleigh,Software & IT,204000,Full-time
95,Radiologist,preventive care phlebotomy medication management physiology,1,High School,Remote,Healthcare,130000,Part-time
96,Occupational Therapist,patient assessment electronic health records cpr critical care,1,PhD,Kansas City,Healthcare,331000,Full-time
97,Event Marketer,google ads branding mailchimp,0,Master,Kansas City,Marketing,74000,Full-time
98,SEO Specialist,public relations outbound marketing copywriting hubspot buffer,2,High School,San Antonio,Marketing,160000,Contract
99,Legal Secretary,civil procedure deposition corporate law trial experience lexisnexis,1,Bachelor,Indianapolis,Legal,96000,Remote
100,Sales Manager,quotas proposal writing pipeline management prospecting sales strategy,1,Associate,Baltimore,Sales,131000,Full-time
101,Teaching Assistant,academic writing iep development instructional design,1,Master,Indianapolis,Education,62000,Full-time
102,Content Marketer,ppc adobe creative suite seo tools seo,2,Associate,Dallas,Marketing,173000,Contract
103,Journalist,responsive design content strategy illustration,3,Bachelor,Washington DC,Arts & Media,66000,Full-time
104,DevOps Engineer,php azure rest api postgresql nosql,4,Master,St. Louis,Software & IT,138000,Full-time
105,Portfolio Manager,cash flow analysis cfa regulatory compliance capital markets portfolio management,5,Bachelor,Indianapolis,Finance,123000,Contract
106,Compliance Officer,financial reporting capital markets derivatives,2,Bachelor,Phoenix,Finance,198000,Full-time
107,Treasury Analyst,forecasting r taxation,2,Associate,Remote,Finance,157000,Full-time
108,Online Instructor,canvas classroom management course development pedagogy,1,Master,Boston,Education,97000,Full-time
109,General Counsel,e-discovery trademark law civil procedure,3,Bachelor,Denver,Legal,174000,Full-time
110,Marine Engineer,matlab simulation thermodynamics fluid dynamics finite element analysis structural analysis,2,High School,Atlanta,Engineering,180000,Part-time
111,Project Engineer,cad gd&t system design manufacturing processes fluid dynamics,2,Bachelor,Miami,Engineering,117000,Full-time
112,CRO,customer retention upselling client relationship management salesforce cross-selling,1,Master,Chicago,Sales,104000,Contract
113,IT Support Specialist,redux scikit-learn jenkins pandas swift postgresql,2,Master,Washington DC,Software & IT,198000,Full-time
114,Market Research Analyst,public relations facebook ads customer journey,4,High School,Boston,Marketing,70000,Temporary
115,Structural Engineer,catia mechanical design fluid dynamics,1,Bachelor,Detroit,Engineering,165000,Full-time
116,Instructional Designer,student engagement educational leadership academic writing,2,Bachelor,Seattle,Education,70000,Full-time
117,Dean,educational administration differentiated instruction student engagement student counseling canvas,1,Bachelor,Los Angeles,Education,104000,Full-time
118,Risk Analyst,accounting corporate finance bloomberg terminal financial statements cash flow analysis financial modeling,3,Master,Columbus,Finance,201000,Full-time
119,Risk Analyst,financial analysis derivatives audit power bi quickbooks,0,Bachelor,Philadelphia,Finance,134000,Full-time
120,Illustrator,figma animation visual design premiere pro adobe illustrator wireframing,1,Associate,Austin,Arts & Media,112000,Full-time
121,Data Scientist,c++ javascript sql rust,1,Bachelor,Salt Lake City,Software & IT,159000,Contract
122,Frontend Developer,jenkins spring c# .net swift nosql,1,High School,Raleigh,Software & IT,121000,Contract
123,Systems Engineer,matlab root cause analysis testing quality assurance catia product development,1,Bachelor,Los Angeles,Engineering,132000,Full-time
124,VP of Sales,cross-selling sales funnel management presentations,1,Bachelor,St. Louis,Sales,135000,Part-time
125,CAD Designer,solidworks ansys manufacturing processes,3,PhD,Charlotte,Engineering,127000,Full-time
126,Financial Controller,capital markets regulatory compliance forecasting budget management cash flow analysis,2,Master,Phoenix,Finance,80000,Full-time
127,Criminal Defense Lawyer,lexisnexis e-discovery drafting criminal law,5,Associate,Baltimore,Legal,229000,Full-time
128,Family Lawyer,patent law corporate law negotiation case management,1,High School,Dallas,Legal,72000,Remote
129,Dietitian,infection control phlebotomy preventive care,3,Bachelor,Cleveland,Healthcare,117000,Part-time
130,School Counselor,teaching google classroom classroom management lesson planning,3,High School,Pittsburgh,Education,78000,Full-time
131,Sales Engineer,customer acquisition cold calling sales funnel management sales enablement upselling client relationship management,2,Bachelor,Cleveland,Sales,110000,Temporary
132,Professor,teaching student counseling course development,1,Associate,Miami,Education,127000,Full-time
133,Sound Engineer,layout design adobe indesign photography color theory videography,4,Bachelor,Charlotte,Arts & Media,82000,Full-time
134,Industrial Designer,user research visual design wireframing,3,Associate,Remote,Arts & Media,141000,Full-time
135,Marketing Coordinator,content strategy influencer marketing affiliate marketing email marketing,3,Bachelor,Dallas,Marketing,154000,Full-time
136,Registered Nurse,pharmacology healthcare regulations cpr surgery,1,PhD,Indianapolis,Healthcare,186000,Full-time
137,Early Childhood Educator,student support student assessment academic advising canvas,1,Bachelor,Salt Lake City,Education,61000,Full-time
138,Data Analyst,rust graphql oracle tensorflow sql,1,Master,St. Louis,Software & IT,108000,Full-time
139,Data Analyst,pandas .net jenkins flask rust c++,3,Bachelor,Cleveland,Software & IT,202000,Full-time
140,Sales Specialist,business development hubspot cold calling customer acquisition solution selling territory management,1,Bachelor,Baltimore,Sales,87000,Full-time
141,UI Designer,color theory ui design after effects creative direction photography,2,Master,Remote,Arts & Media,88000,Full-time
142,Budget Analyst,cash flow analysis sql financial statements python financial reporting budget management,8,Master,Remote,Finance,102000,Full-time
143,Campaign Manager,analytics ppc digital marketing storytelling copywriting,2,Master,Seattle,Marketing,183000,Full-time
144,ESL Teacher,student counseling mentoring stem education research,2,High School,St. Louis,Education,55000,Full-time
145,UI Designer,responsive design copywriting user testing color theory layout design storyboarding,0,Bachelor,Pittsburgh,Arts & Media,142000,Full-time
146,Market Research Analyst,customer journey analytics hootsuite,2,Bachelor,Salt Lake City,Marketing,159000,Full-time
147,Advertising Manager,inbound marketing seo outbound marketing,2,High School,Chicago,Marketing,51000,Full-time
148,Marketing Manager,social media marketing outbound marketing campaign management,1,Bachelor,Raleigh,Marketing,141000,Remote
149,Online Instructor,stem education pedagogy curriculum development educational assessment instructional design,3,Bachelor,Atlanta,Education,69000,Full-time
150,Accountant,bloomberg terminal sap financial statements,1,Bachelor,Austin,Finance,187000,Full-time
151,Data Analyst,php django react spring,3,Associate,Minneapolis,Software & IT,158000,Full-time
152,Regional Sales Manager,presentations lead generation objection handling solution selling negotiation,0,Master,Washington DC,Sales,118000,Internship
153,Principal,student counseling iep development student engagement,5,Bachelor,San Jose,Education,62000,Full-time
154,Corporate Counsel,deposition legal documentation regulatory compliance trial experience,1,Bachelor,Remote,Legal,93000,Full-time
155,Motion Graphics Designer,after effects figma user testing,4,PhD,Cincinnati,Arts & Media,170000,Remote
156,Community Manager,sem customer journey google ads,1,Bachelor,Orlando,Marketing,121000,Full-time
157,VP of Sales,b2b sales quotas sales,1,Master,San Diego,Sales,140000,Full-time
158,Curriculum Developer,classroom management moodle research academic advising iep development curriculum development,3,Bachelor,Atlanta,Education,67000,Full-time
159,Patent Attorney,trial experience trademark law criminal law civil procedure,1,Associate,New York,Legal,124000,Full-time
160,Project Engineer,fluid dynamics plc simulation engineering design mechanical design testing,2,Bachelor,San Antonio,Engineering,170000,Full-time
161,Financial Advisor,cash flow analysis excel taxation,2,Master,Nashville,Finance,95000,Full-time
162,Radiologist,patient education therapy electronic health records,2,High School,Denver,Healthcare,148000,Full-time
163,Animator,adobe illustrator sketching sketch storyboarding,3,High School,Cleveland,Arts & Media,119000,Full-time
164,Loan Officer,portfolio management corporate finance derivatives forecasting gaap excel,1,Master,Portland,Finance,79000,Full-time
165,Legal Consultant,case management negotiation brief writing lexisnexis litigation,0,Master,Remote,Legal,189000,Full-time
166,Community Manager,ppc mailchimp branding outbound marketing,3,Bachelor,Baltimore,Marketing,104000,Contract
167,Sales Coordinator,contract negotiation upselling sales pipeline management,1,Bachelor,Minneapolis,Sales,154000,Full-time
168,Judge,brief writing westlaw criminal law corporate law,2,PhD,Cincinnati,Legal,220000,Full-time
169,Economist,tableau derivatives forecasting risk assessment,1,Master,Remote,Finance,162000,Full-time
170,HR Generalist,employee retention workforce planning coaching bamboo hr,1,High School,Miami,Human Resources,57000,Contract
171,Inside Sales Representative,business development crm sales enablement cold calling upselling,2,PhD,Seattle,Sales,160000,Full-time
172,Biomedical Engineer,solidworks finite element analysis microcontrollers thermodynamics autocad,2,Bachelor,Chicago,Engineering,150000,Full-time
173,Legal Secretary,arbitration legal documentation contract law deposition,0,High School,Portland,Legal,108000,Full-time
174,Graphic Designer,storytelling responsive design ux design typography blender art direction,3,Bachelor,Phoenix,Arts & Media,151000,Part-time
175,Credit Analyst,sql bloomberg terminal power bi,5,Bachelor,San Antonio,Finance,123000,Full-time
176,Project Engineer,catia microcontrollers mechanical design structural analysis,2,Bachelor,Nashville,Engineering,112000,Full-time
177,Psychiatrist,patient assessment diagnosis disease management,3,Bachelor,Los Angeles,Healthcare,86000,Part-time
178,Investment Banker,quickbooks taxation r cash flow analysis,7,Associate,Indianapolis,Finance,164000,Part-time
179,Robotics Engineer,manufacturing processes technical documentation materials science cad prototyping,0,Associate,San Diego,Engineering,188000,Full-time
180,Wealth Manager,taxation banking quickbooks financial analysis,1,Associate,Portland,Finance,97000,Full-time
181,Corporate Counsel,legal documentation westlaw contract law courtroom procedure,1,Associate,Remote,Legal,94000,Part-time
182,Medical Assistant,emergency care phlebotomy medical records therapy infection control cpr,8,Master,St. Louis,Healthcare,251000,Part-time
183,Special Education Teacher,instructional design student counseling educational leadership,2,Bachelor,Indianapolis,Education,118000,Part-time
184,Electrical Engineer,finite element analysis quality assurance manufacturing processes project management thermodynamics,1,Master,Los Angeles,Engineering,110000,Full-time
185,Teaching Assistant,course development differentiated instruction lms,2,High School,Kansas City,Education,57000,Full-time
186,Dentist,diagnosis critical care medical records pharmacology surgery emergency care,2,Bachelor,Pittsburgh,Healthcare,315000,Full-time
187,Inside Sales Representative,pipeline management cross-selling cold calling sales analytics sales funnel management b2b sales,2,Associate,Houston,Sales,112000,Contract
188,Diversity and Inclusion Specialist,interviewing change management succession planning workday,1,Bachelor,Pittsburgh,Human Resources,121000,Full-time
189,Outside Sales Representative,cold calling sales forecasting b2c sales customer acquisition account management,1,Bachelor,Portland,Sales,103000,Full-time
190,Marketing Coordinator,crm software hootsuite outbound marketing facebook ads inbound marketing,1,Bachelor,Indianapolis,Marketing,138000,Full-time
191,Risk Analyst,bloomberg terminal excel budget management financial reporting,3,Bachelor,San Jose,Finance,113000,Full-time
192,Copywriter,color theory after effects sketch,3,High School,Denver,Arts & Media,89000,Part-time
193,B2B Sales Representative,prospecting proposal writing b2c sales,1,Bachelor,St. Louis,Sales,113000,Full-time
194,Occupational Therapist,electronic health records patient care rehabilitation laboratory testing surgery vital signs,2,Associate,Pittsburgh,Healthcare,106000,Full-time
195,Judge,mediation legal research lexisnexis courtroom procedure trademark law corporate law,2,Bachelor,Los Angeles,Legal,169000,Full-time
196,Epidemiologist,medical terminology therapy medication management diagnosis patient assessment case management,1,Associate,Detroit,Healthcare,75000,Full-time
197,Copywriter,storyboarding content strategy premiere pro prototyping layout design,2,Bachelor,Washington DC,Arts & Media,73000,Full-time
198,Tax Consultant,excel financial statements mergers and acquisitions financial reporting derivatives,8,Master,Miami,Finance,213000,Full-time
199,Regional Sales Manager,sales funnel management cold calling objection handling sales account management,1,Bachelor,Raleigh,Sales,129000,Remote
200,HR Assistant,career development hris systems talent management organizational development conflict resolution bamboo hr,0,Bachelor,Pittsburgh,Human Resources,72000,Remote
201,Creative Director,hootsuite mailchimp marketing automation,1,High School,Miami,Marketing,57000,Contract
202,Project Engineer,structural analysis technical documentation ansys,3,High School,Salt Lake City,Engineering,82000,Full-time
203,Film Director,responsive design after effects copywriting adobe indesign photography,0,Associate,Raleigh,Arts & Media,61000,Remote
204,Financial Advisor,corporate finance forecasting power bi pivot tables,3,Associate,Pittsburgh,Finance,72000,Full-time
205,Illustrator,sketch layout design cinema 4d,5,High School,San Diego,Arts & Media,129000,Part-time
206,Veterinarian,treatment planning preventive care physiology vital signs disease management,2,High School,Remote,Healthcare,140000,Full-time
207,CMO,a/b testing email marketing public relations hubspot outbound marketing,2,Master,Cleveland,Marketing,181000,Remote
208,Marketing Analyst,adobe creative suite digital marketing google analytics influencer marketing google ads inbound marketing,3,High School,Indianapolis,Marketing,160000,Full-time
209,Paralegal,mediation deposition e-discovery due diligence brief writing lexisnexis,1,Master,Remote,Legal,124000,Internship
210,Web Developer,react scikit-learn jenkins git .net,3,Master,Baltimore,Software & IT,211000,Temporary
211,School Counselor,educational technology instructional design teaching classroom management,2,Bachelor,Detroit,Education,54000,Full-time
212,Full Stack Developer,rust spring numpy .net,3,Bachelor,Seattle,Software & IT,177000,Part-time
213,Materials Engineer,quality control technical documentation cad prototyping matlab materials science,1,Master,Cleveland,Engineering,147000,Full-time
214,Outside Sales Representative,b2c sales sales analytics negotiation quotas salesforce,1,Bachelor,Cincinnati,Sales,106000,Part-time
215,Producer,content strategy 3d modeling photography,1,Master,Salt Lake City,Arts & Media,61000,Full-time
216,Training Specialist,hris systems succession planning workforce planning,8,Associate,Denver,Human Resources,87000,Part-time
217,Sales Engineer,account management customer retention objection handling quotas contract negotiation upselling,1,Associate,Baltimore,Sales,99000,Full-time
218,Principal,course development pedagogy blackboard student support academic writing student engagement,7,Bachelor,Pittsburgh,Education,88000,Full-time
219,Copywriter,invision typography premiere pro photography,1,Master,Baltimore,Arts & Media,124000,Temporary
220,Backend Developer,aws scikit-learn postgresql sql java,2,Bachelor,Denver,Software & IT,124000,Full-time
221,Editor,animation storytelling ux design premiere pro videography photography,1,Associate,Minneapolis,Arts & Media,113000,Full-time
222,Video Editor,premiere pro adobe indesign storyboarding ux design adobe photoshop videography,4,Associate,Kansas City,Arts & Media,139000,Full-time
223,SEO Specialist,campaign management affiliate marketing content creation,2,Associate,San Francisco,Marketing,145000,Full-time
224,Teaching Assistant,student support teaching student engagement google classroom pedagogy canvas,1,Bachelor,Remote,Education,100000,Part-time
225,Sales Manager,lead generation quotas sales strategy hubspot closing techniques,3,PhD,Atlanta,Sales,127000,Internship
226,HR Manager,hr compliance hris systems employee retention adp workday employee training,3,Master,Boston,Human Resources,162000,Full-time
227,Teaching Assistant,iep development course development differentiated instruction student assessment educational leadership google classroom,1,Bachelor,San Antonio,Education,70000,Full-time
228,Photographer,wireframing responsive design 3d modeling storyboarding layout design copywriting,1,Bachelor,Raleigh,Arts & Media,121000,Full-time
229,UI Designer,layout design wireframing content strategy animation storytelling color theory,1,Bachelor,Cleveland,Arts & Media,140000,Remote
230,Optometrist,physiology case management imaging medical terminology laboratory testing,13,Bachelor,Chicago,Healthcare,107000,Full-time
231,Retail Sales Associate,proposal writing crm hubspot,1,High School,Kansas City,Sales,50000,Internship
232,Compliance Manager,contract law due diligence document review mediation client counseling,3,Bachelor,Miami,Legal,121000,Temporary
233,Attorney,regulatory compliance corporate law e-discovery litigation trademark law legal analysis,1,Master,Austin,Legal,157000,Full-time
234,Marketing Coordinator,branding mailchimp a/b testing content creation analytics,2,Bachelor,Remote,Marketing,70000,Part-time
235,School Psychologist,educational psychology instructional design google classroom research canvas,2,Bachelor,Portland,Education,123000,Part-time
236,Mobile App Developer,rust flask git,2,High School,Remote,Software & IT,121000,Full-time
237,Database Administrator,mongodb gcp rust rest api,6,Associate,Washington DC,Software & IT,118000,Part-time
238,Registered Nurse,preventive care therapy clinical research anatomy critical care,3,Master,Seattle,Healthcare,247000,Remote
239,Corporate Counsel,case management criminal law patent law westlaw corporate law intellectual property,2,Bachelor,Orlando,Legal,87000,Full-time
240,Data Scientist,rest api pytorch oracle hibernate,3,Master,Los Angeles,Software & IT,118000,Full-time
241,Art Director,copywriting branding invision creative direction ui design typography,2,Master,New York,Arts & Media,100000,Part-time
242,SEO Specialist,mailchimp digital marketing affiliate marketing branding sem market research,3,Associate,San Antonio,Marketing,125000,Full-time
243,Professor,lms blackboard educational psychology student counseling,3,Bachelor,Cincinnati,Education,133000,Full-time
244,Illustrator,cinema 4d branding sketching prototyping,4,Associate,Tampa,Arts & Media,64000,Contract
245,Criminal Defense Lawyer,intellectual property mediation negotiation legal writing,1,High School,Chicago,Legal,173000,Full-time
246,Sales Coordinator,prospecting client relationship management b2b sales sales forecasting,1,Master,Remote,Sales,80000,Full-time
247,Biomedical Engineer,circuit design quality control 3d modeling plc,3,Master,Minneapolis,Engineering,101000,Full-time
248,Talent Acquisition Manager,employee relations workday interviewing employee retention diversity & inclusion,6,Associate,Baltimore,Human Resources,85000,Contract
249,Software Developer,rust javascript sql scikit-learn rest api,4,Bachelor,San Diego,Software & IT,80000,Full-time
250,Outside Sales Representative,territory management sales forecasting quotas sales strategy,3,Bachelor,Seattle,Sales,97000,Full-time
251,Marketing Analyst,content creation public relations inbound marketing,2,Master,New York,Marketing,124000,Contract
252,Sales Analyst,business development sales forecasting objection handling sales strategy sales,4,Bachelor,New York,Sales,103000,Full-time
253,CMO,canva ppc storytelling sem,1,Master,Los Angeles,Marketing,75000,Full-time
254,Industrial Engineer,materials science project management finite element analysis root cause analysis 3d modeling matlab,2,Associate,Atlanta,Engineering,96000,Full-time
255,Instructional Designer,academic writing course development google classroom,5,Bachelor,Detroit,Education,73000,Full-time
256,CMO,google ads digital marketing marketing automation content creation,2,High School,Minneapolis,Marketing,63000,Full-time
257,Credit Analyst,taxation quickbooks tableau python,2,Bachelor,Houston,Finance,154000,Part-time
258,Retail Sales Associate,prospecting solution selling salesforce,1,Master,Salt Lake City,Sales,158000,Part-time
259,Web Developer,azure mysql flask,1,Master,New York,Software & IT,172000,Full-time
260,Judge,case management courtroom procedure negotiation drafting,1,Bachelor,Tampa,Legal,153000,Full-time
261,Radiologist,treatment planning patient care medical records phlebotomy therapy critical care,1,Associate,Washington DC,Healthcare,66000,Full-time
