id,skills,experience,education,location,career_field,relocation
43,regulatory compliance derivatives financial reporting mergers and acquisitions investment management banking,10,Master,San Antonio,Finance,False
44,content strategy analytics seo tools market research affiliate marketing canva customer journey,6,Bachelor,Pittsburgh,Marketing,True
45,corporate finance internal controls regulatory compliance academic writing,1,Bachelor,San Francisco,Finance,True
46,hris systems adp talent management bamboo hr hr policies,3,Bachelor,San Antonio,Human Resources,False
47,customer acquisition b2c sales objection handling solution selling presentations account management b2b sales,7,High School,Indianapolis,Sales,False
48,materials science gd&t autocad quality assurance matlab plc,3,PhD,Minneapolis,Engineering,True
49,employee training payroll processing diversity & inclusion benefits administration organizational development,3,High School,Chicago,Human Resources,False
50,capital markets power bi budget management sql patient assessment,3,High School,Philadelphia,Finance,False
51,pipeline management sales upselling sales analytics crm,13,Bachelor,Pittsburgh,Sales,True
52,hr policies adp benefits administration hr analytics labor laws employee relations,7,Bachelor,St. Louis,Human Resources,False
53,plc technical documentation catia materials science finite element analysis 3d modeling,2,Bachelor,Cincinnati,Engineering,True
54,talent management payroll processing recruiting labor laws change management employee relations gaap,7,High School,Salt Lake City,Human Resources,True
55,medical terminology case management vital signs patient assessment preventive care electronic health records student support iep development mentoring,4,High School,Boston,Healthcare,False
56,solution selling cold calling consultative selling sales hubspot,4,Master,Salt Lake City,Sales,False
57,power bi python sap portfolio management financial reporting budget management excel academic advising classroom management student assessment,1,Bachelor,Remote,Finance,True
58,talent management workforce planning diversity & inclusion,7,High School,Salt Lake City,Human Resources,False
59,lesson planning mentoring educational technology educational psychology internal controls,6,Associate,Remote,Education,False
60,curriculum development student engagement blackboard educational psychology lesson planning mentoring,4,Bachelor,San Antonio,Education,True
61,customer retention cross-selling objection handling sales enablement hubspot,21,Bachelor,Miami,Sales,True
62,business development consultative selling cold calling,8,Master,Houston,Sales,True
63,git mysql django tensorflow scikit-learn javascript,3,Associate,Salt Lake City,Software & IT,False
64,wireframing invision storytelling color theory,1,High School,San Francisco,Arts & Media,True
65,hris systems change management employee retention labor laws workday diversity & inclusion hr analytics,2,Master,Phoenix,Human Resources,True
66,lesson planning stem education moodle research classroom management,4,Bachelor,Portland,Education,False
67,customer journey google analytics hubspot crm software,5,Bachelor,Los Angeles,Marketing,False
68,spring scikit-learn swift postgresql javascript,3,Associate,Remote,Software & IT,False
69,physiology phlebotomy patient care,3,Bachelor,Seattle,Healthcare,True
70,e-discovery patent law legal analysis trademark law legal documentation,4,Bachelor,Dallas,Legal,True
71,visual design wireframing adobe photoshop branding ux design animation illustration,8,High School,Miami,Arts & Media,False
72,psychiatric evaluation surgery preventive care imaging medical records disease management adobe indesign wireframing,5,High School,Portland,Healthcare,False
73,crm software ppc google analytics branding digital marketing,1,High School,Tampa,Marketing,True
74,ansys simulation solidworks process improvement root cause analysis,6,Associate,Dallas,Engineering,False
75,b2b sales consultative selling crm objection handling sales funnel management cross-selling upselling,2,Bachelor,San Diego,Sales,False
76,sem inbound marketing content creation crm software mailchimp branding,5,Master,Tampa,Marketing,True
77,mechanical design solidworks cad project management sales enablement,2,Associate,Seattle,Engineering,False
78,anatomy medical records medication management,3,Associate,Orlando,Healthcare,True
79,postgresql numpy ruby c# mysql django user research color theory,1,Master,Kansas City,Software & IT,False
80,civil procedure lexisnexis trademark law document review arbitration corporate law b2c sales sales,3,High School,San Antonio,Legal,True
81,recruiting workday labor laws redux tensorflow,2,High School,Remote,Human Resources,False
82,php mysql react pandas c# surgery treatment planning electronic health records,3,PhD,Remote,Software & IT,True
83,rest api docker nosql scikit-learn mediation,8,Bachelor,Detroit,Software & IT,False
84,inbound marketing branding copywriting sem affiliate marketing content strategy crm software sql power bi,3,Master,Columbus,Marketing,False
85,applicant tracking systems diversity & inclusion workday,9,Bachelor,Baltimore,Human Resources,False
86,sales forecasting objection handling consultative selling sketch typography figma,3,Master,Boston,Sales,False
87,mysql hibernate php rest api,3,High School,Cincinnati,Software & IT,False
88,google analytics hootsuite customer journey mailchimp content strategy,3,Master,Columbus,Marketing,True
89,student assessment instructional design student support lesson planning excel derivatives cpa,7,Associate,Phoenix,Education,True
90,technical documentation prototyping thermodynamics project management quality control industrial design fluid dynamics,4,Bachelor,Pittsburgh,Engineering,False
91,structural analysis prototyping simulation circuit design failure analysis,2,Associate,San Antonio,Engineering,False
92,civil procedure corporate law litigation,6,Master,Tampa,Legal,True
93,pharmacology infection control psychiatric evaluation patient assessment case management,1,Bachelor,Columbus,Healthcare,True
94,adobe creative suite google analytics campaign management inbound marketing,1,High School,New York,Marketing,False
95,prototyping matlab finite element analysis,4,High School,Denver,Engineering,True
96,java ruby sql,17,Associate,Houston,Software & IT,True
97,illustration 3d modeling premiere pro content strategy adobe photoshop,3,Master,St. Louis,Arts & Media,False
98,facebook ads market research google analytics social media marketing cpr anatomy,2,Bachelor,Nashville,Marketing,True
99,sketch ui design typography user research copywriting adobe indesign creative direction,10,Bachelor,Los Angeles,Arts & Media,True
100,blueprint reading cad catia structural analysis system design autocad,3,Bachelor,Denver,Engineering,True
101,blueprint reading technical documentation root cause analysis,0,Bachelor,Washington DC,Engineering,True
102,therapy healthcare regulations diagnosis treatment planning cpr b2b sales negotiation sales funnel management,15,Master,San Antonio,Healthcare,True
103,hubspot presentations solution selling account management therapy,27,High School,Kansas City,Sales,True
104,physiology medication management infection control,5,Master,St. Louis,Healthcare,True
105,student counseling teaching stem education lms lesson planning pedagogy litigation deposition,3,Bachelor,St. Louis,Education,True
106,project management testing root cause analysis catia failure analysis materials science,3,Bachelor,Los Angeles,Engineering,False
107,pytorch docker rust django python sem canva,11,High School,Denver,Software & IT,False
108,sales contract negotiation account management upselling solution selling,1,Associate,Cincinnati,Sales,True
109,courtroom procedure negotiation intellectual property deposition criminal law due diligence,3,High School,Portland,Legal,True
110,educational psychology student counseling educational assessment canvas mentoring,15,Bachelor,Nashville,Education,True
111,creative direction ux design premiere pro wireframing teaching student assessment educational psychology,2,Master,San Francisco,Arts & Media,False
112,project management process improvement matlab quality assurance pandas jenkins ruby,2,Master,Pittsburgh,Engineering,False
113,consultative selling sales forecasting closing techniques,9,Bachelor,Washington DC,Sales,True
114,public relations hootsuite inbound marketing,3,Bachelor,San Francisco,Marketing,True
115,python git php hibernate spring react rust iep development,2,Bachelor,Detroit,Software & IT,False
116,sketching typography blender responsive design ui design adobe illustrator litigation family law,5,PhD,Atlanta,Arts & Media,True
117,a/b testing ppc analytics content strategy canva hubspot,2,Master,St. Louis,Marketing,False
118,process improvement product development failure analysis 3d modeling manufacturing processes system design matlab,5,Master,Detroit,Engineering,True
119,facebook ads market research customer journey digital marketing google ads,8,Bachelor,Minneapolis,Marketing,True
120,c# javascript nosql django rest api ruby mongodb,4,Associate,Minneapolis,Software & IT,False
121,storytelling wireframing sketching prototyping premiere pro branding,4,Associate,Portland,Arts & Media,True
122,quality assurance failure analysis microcontrollers plc process improvement blueprint reading,9,Master,San Jose,Engineering,True
123,marketing automation copywriting public relations google ads,3,Master,Cleveland,Marketing,True
124,interviewing career development hr compliance change management talent management,13,Associate,Miami,Human Resources,True
125,microcontrollers cad materials science root cause analysis project management autocad,2,Bachelor,Tampa,Engineering,True
126,emergency care patient education treatment planning,3,Master,Chicago,Healthcare,True
127,seo digital marketing hubspot,1,Bachelor,St. Louis,Marketing,False
128,applicant tracking systems performance management recruiting employee onboarding,3,Bachelor,Los Angeles,Human Resources,False
129,organizational development talent acquisition hr compliance sales analytics objection handling closing techniques,9,High School,Los Angeles,Human Resources,True
130,django java html mysql scikit-learn talent acquisition,9,Associate,Miami,Software & IT,True
131,ppc digital marketing seo tools content creation gd&t mechanical design fluid dynamics,3,High School,Houston,Marketing,False
132,educational administration educational leadership teaching academic advising mentoring student assessment,3,Master,Atlanta,Education,True
133,typescript rest api css,4,High School,Portland,Software & IT,False
134,derivatives pivot tables cash flow analysis sap salesforce consultative selling,7,Master,Dallas,Finance,False
135,patient assessment patient care treatment planning healthcare regulations electronic health records,9,Associate,Salt Lake City,Healthcare,False
136,spring tensorflow redux scikit-learn react javascript,6,Bachelor,Remote,Software & IT,True
137,accounting tableau portfolio management cpa,3,Bachelor,Charlotte,Finance,True
138,benefits administration employee onboarding organizational development applicant tracking systems,8,Master,San Antonio,Human Resources,False
139,civil procedure negotiation case management,0,Master,Portland,Legal,False
140,bloomberg terminal capital markets internal controls forecasting educational leadership canvas,3,Master,Remote,Finance,False
141,negotiation litigation intellectual property client counseling westlaw patient education clinical documentation medical terminology,12,Master,Houston,Legal,False
142,westlaw brief writing e-discovery legal ethics ui design after effects typography,7,Bachelor,Charlotte,Legal,True
143,branding art direction animation content strategy figma,10,Bachelor,Remote,Arts & Media,False
144,forecasting sap python r plc,9,Master,Denver,Finance,False
145,manufacturing processes project management simulation testing quality assurance,23,Bachelor,Baltimore,Engineering,True
146,patient education medical records electronic health records phlebotomy medication management copywriting,2,Master,Phoenix,Healthcare,True
147,sketching wireframing color theory premiere pro art direction storyboarding ux design,3,Bachelor,Kansas City,Arts & Media,False
148,kotlin azure gcp postgresql mongodb c++,3,Bachelor,Tampa,Software & IT,False
149,student counseling stem education classroom management,2,Master,San Francisco,Education,False
150,lexisnexis client counseling legal research,5,Bachelor,Nashville,Legal,False
151,ppc canva crm software copywriting simulation,6,Bachelor,New York,Marketing,False
152,electronic health records patient assessment psychiatric evaluation vital signs legal documentation,1,Bachelor,St. Louis,Healthcare,True
153,redux rest api python django react pandas docker,2,Bachelor,Atlanta,Software & IT,True
154,blender art direction photography animation,2,Associate,Houston,Arts & Media,True
155,cross-selling account management b2c sales proposal writing,21,Associate,Philadelphia,Sales,False
156,google classroom educational psychology student counseling student support lms pedagogy course development,6,Associate,Dallas,Education,True
157,content creation hubspot facebook ads affiliate marketing customer journey buffer hootsuite due diligence mediation,3,Bachelor,Dallas,Marketing,True
158,trial experience document review negotiation case management corporate law lexisnexis legal analysis accounting,9,Associate,Orlando,Legal,True
159,change management career development adp compensation benefits administration employee relations,5,Master,Chicago,Human Resources,True
160,therapy clinical research emergency care psychiatric evaluation preventive care imaging,8,Bachelor,Remote,Healthcare,True
161,matlab engineering design finite element analysis technical documentation cad campaign management,4,Master,Cincinnati,Engineering,True
162,legal documentation due diligence negotiation user research storytelling,7,Bachelor,Columbus,Legal,True
163,risk assessment tableau mergers and acquisitions r,3,Associate,New York,Finance,False
164,contract negotiation sales analytics pipeline management consultative selling lead generation crm presentations,4,Bachelor,Washington DC,Sales,False
165,product development prototyping solidworks finite element analysis plc,0,High School,Pittsburgh,Engineering,True
166,hr compliance conflict resolution workforce planning labor laws employee relations adp,6,Bachelor,San Jose,Human Resources,False
167,seo google ads affiliate marketing campaign management,3,Bachelor,Cincinnati,Marketing,True
168,materials science project management matlab system design cad,4,Associate,San Diego,Engineering,True
169,legal writing negotiation patent law drafting regulatory compliance legal research e-discovery workforce planning hr analytics career development,2,Associate,Austin,Legal,True
170,mediation lexisnexis trial experience family law patent law civil procedure research,3,Bachelor,Cleveland,Legal,False
171,cpa banking risk assessment r tableau cfa,3,Bachelor,Chicago,Finance,True
172,responsive design photography copywriting adobe photoshop layout design cinema 4d,9,Associate,Remote,Arts & Media,False
173,cash flow analysis audit power bi,7,Master,Pittsburgh,Finance,False
174,presentations pipeline management salesforce sales funnel management,34,Bachelor,Dallas,Sales,True
175,employee retention hr policies career development copywriting,5,PhD,Remote,Human Resources,True
176,copywriting videography invision sketch typography user testing art direction,7,Associate,Los Angeles,Arts & Media,True
177,b2b sales closing techniques territory management b2c sales prospecting sales enablement financial modeling,5,Master,Salt Lake City,Sales,True
178,performance management workforce planning applicant tracking systems payroll processing critical care infection control disease management,5,Master,San Antonio,Human Resources,False
179,westlaw legal research case management trial experience contract law lexisnexis risk assessment forecasting,6,Bachelor,Tampa,Legal,False
180,c# nosql kotlin java flask,4,Bachelor,Pittsburgh,Software & IT,False
181,simulation prototyping manufacturing processes circuit design microcontrollers,6,Bachelor,Phoenix,Engineering,True
182,industrial design quality assurance microcontrollers matlab,4,Bachelor,Phoenix,Engineering,True
183,photography invision ui design branding wireframing adobe photoshop sales strategy lead generation,2,Bachelor,Nashville,Arts & Media,True
184,compensation employee training recruiting organizational development hris systems talent acquisition r,2,Bachelor,Phoenix,Human Resources,False
185,marketing automation market research email marketing,2,Master,Chicago,Marketing,True
186,adobe illustrator after effects copywriting ux design typography,6,Bachelor,St. Louis,Arts & Media,True
187,cpa accounting gaap,2,High School,Philadelphia,Finance,True
188,differentiated instruction stem education educational psychology legal writing case management,14,Associate,Minneapolis,Education,True
189,sql kubernetes rest api python git typescript node.js,4,Associate,Cincinnati,Software & IT,True
190,financial modeling sql financial analysis python creative direction,3,Bachelor,San Diego,Finance,True
191,blackboard educational assessment instructional design educational technology,2,Bachelor,St. Louis,Education,False
192,anatomy preventive care imaging,12,Bachelor,Austin,Healthcare,False
193,emergency care physiology medical terminology phlebotomy medical records scala typescript,11,High School,Phoenix,Healthcare,False
194,corporate law family law trial experience legal ethics legal writing,5,High School,Atlanta,Legal,True
195,employee onboarding employee relations employee training hris systems,2,Bachelor,Atlanta,Human Resources,True
196,bloomberg terminal investment management budget management internal controls .net kotlin docker,6,Associate,Denver,Finance,False
197,cpr medical terminology clinical research emergency care electronic health records critical care,6,Bachelor,San Diego,Healthcare,False
198,corporate law due diligence courtroom procedure mediation negotiation seo a/b testing adobe creative suite,6,High School,Washington DC,Legal,True
199,hubspot affiliate marketing buffer customer journey sem,6,High School,Pittsburgh,Marketing,True
200,google analytics copywriting social media marketing hootsuite analytics,16,Associate,Miami,Marketing,False
201,storytelling photography ux design figma,2,Bachelor,Remote,Arts & Media,True
202,php django sql kotlin spring mysql node.js,9,Bachelor,Seattle,Software & IT,False
203,taxation budget management cfa portfolio management gaap financial statements python,3,Bachelor,Los Angeles,Finance,True
204,node.js flask scala mysql c# oracle,6,Bachelor,Cleveland,Software & IT,True
205,crm b2c sales business development b2b sales sales presentations sales analytics,3,Bachelor,Miami,Sales,True
206,premiere pro branding layout design art direction,25,Bachelor,Dallas,Arts & Media,False
207,figma cinema 4d wireframing ui design,5,Associate,Phoenix,Arts & Media,True
208,quickbooks sap cash flow analysis python audit derivatives sql ppc,9,Bachelor,Salt Lake City,Finance,False
209,google analytics analytics social media marketing branding,1,High School,Cincinnati,Marketing,False
210,branding facebook ads inbound marketing email marketing campaign management google analytics,2,Master,Chicago,Marketing,True
211,rehabilitation critical care psychiatric evaluation healthcare regulations preventive care,2,Master,Cleveland,Healthcare,True
212,quickbooks financial reporting taxation,2,Master,San Francisco,Finance,False
213,westlaw legal research intellectual property negotiation client counseling e-discovery,7,PhD,San Jose,Legal,True
214,iep development instructional design educational administration pedagogy lesson planning curriculum development,2,Bachelor,Detroit,Education,False
215,social media marketing sem hootsuite influencer marketing crm software,1,High School,Austin,Marketing,False
216,branding canva seo,4,High School,Charlotte,Marketing,False
217,docker jenkins spring mongodb typescript,3,Master,San Francisco,Software & IT,True
218,.net kotlin python tensorflow scala numpy,1,Associate,Columbus,Software & IT,True
219,kotlin kubernetes numpy gcp node.js,0,High School,Pittsburgh,Software & IT,False
220,market research customer journey outbound marketing digital marketing buffer,2,Bachelor,Charlotte,Marketing,False
221,adp recruiting hr compliance,5,PhD,Chicago,Human Resources,False
222,e-discovery legal documentation mediation client counseling legal writing document review,1,Bachelor,Boston,Legal,True
223,financial statements accounting forecasting cfa pivot tables,1,High School,Los Angeles,Finance,True
224,educational assessment student counseling instructional design,6,Bachelor,Remote,Education,True
225,typography user testing branding ui design,1,High School,Orlando,Arts & Media,False
226,laboratory testing cpr physiology vital signs rehabilitation psychiatric evaluation infection control,1,PhD,New York,Healthcare,True
227,lms google classroom academic advising classroom management pedagogy educational leadership course development,4,Associate,Houston,Education,True
228,workday employee engagement career development interviewing employee training,4,Bachelor,St. Louis,Human Resources,True
229,differentiated instruction pedagogy student engagement student support clinical documentation critical care vital signs,5,Bachelor,Boston,Education,True
230,prototyping adobe illustrator invision user research,2,Master,Austin,Arts & Media,False
231,branding crm software customer journey canva content creation affiliate marketing campaign management,8,Master,Pittsburgh,Marketing,False
232,structural analysis prototyping finite element analysis technical documentation,6,Bachelor,Los Angeles,Engineering,True
233,market research public relations seo digital marketing,2,Associate,San Antonio,Marketing,False
234,clinical research imaging surgery patient education,5,Bachelor,Nashville,Healthcare,True
235,quality control plc solidworks sales forecasting sales analytics,2,High School,St. Louis,Engineering,False
236,thermodynamics root cause analysis process improvement solidworks client relationship management,5,High School,Detroit,Engineering,True
237,react docker php postgresql ruby java,4,Associate,Washington DC,Software & IT,False
238,adp performance management payroll processing organizational development employee onboarding coaching benefits administration,4,High School,Denver,Human Resources,False
239,engineering design catia materials science failure analysis,4,Bachelor,Boston,Engineering,False
240,legal ethics lexisnexis drafting contract law corporate law patent law deposition instructional design educational leadership,1,Bachelor,Los Angeles,Legal,False
241,crm client relationship management quotas sales forecasting business development,2,Bachelor,Detroit,Sales,False
242,customer retention b2c sales pipeline management sales funnel management,2,Master,Los Angeles,Sales,False
243,matlab industrial design engineering design career development adp,13,High School,Indianapolis,Engineering,False
244,presentations cross-selling sales analytics quotas sales b2c sales hubspot employee retention workday,5,Bachelor,Indianapolis,Sales,True
245,closing techniques sales funnel management customer retention negotiation .net ruby,2,Bachelor,Houston,Sales,True
246,sales cross-selling crm prospecting salesforce,3,Bachelor,San Francisco,Sales,False
247,differentiated instruction curriculum development iep development educational technology educational psychology lms blackboard,3,Associate,Denver,Education,False
248,performance management workday employee retention employee onboarding applicant tracking systems labor laws talent management negotiation customer acquisition,9,Associate,Washington DC,Human Resources,True
249,css graphql kotlin,4,Bachelor,New York,Software & IT,False
250,testing prototyping failure analysis 3d modeling matlab thermodynamics criminal law,7,Master,Philadelphia,Engineering,False
251,content creation a/b testing hootsuite ppc,3,Master,Minneapolis,Marketing,False
252,javascript django docker rust,9,High School,Seattle,Software & IT,True
253,educational assessment lesson planning lms educational administration moodle stem education buffer canva,7,Associate,San Jose,Education,False
254,corporate finance banking python budget management,1,Bachelor,San Antonio,Finance,False
255,public relations sem seo,20,High School,Kansas City,Marketing,True
256,spring graphql flask sql kotlin php kubernetes imaging,4,Associate,Miami,Software & IT,False
257,cfa taxation mergers and acquisitions financial reporting family law,9,Bachelor,Baltimore,Finance,False
258,ruby php oracle html kubernetes docker nosql due diligence patent law litigation,1,Bachelor,San Diego,Software & IT,True
259,drafting client counseling legal research civil procedure adobe creative suite,2,Bachelor,San Francisco,Legal,False
260,hris systems workday compensation performance management coaching applicant tracking systems organizational development,5,High School,Cleveland,Human Resources,True
261,typescript java javascript,3,Bachelor,Minneapolis,Software & IT,False
262,lms academic writing educational psychology instructional design pedagogy stem education,5,Bachelor,San Diego,Education,True
263,accounting budget management python student support student counseling,3,Master,Chicago,Finance,False
264,disease management patient assessment patient education anatomy clinical documentation surgery,5,High School,Detroit,Healthcare,True
265,recruiting employee engagement talent management hr compliance bamboo hr change management coaching color theory,2,Bachelor,Los Angeles,Human Resources,False
266,contract negotiation negotiation sales enablement sales strategy b2b sales sales copywriting prototyping,2,Bachelor,Austin,Sales,True
267,diagnosis anatomy clinical research,3,Associate,Cleveland,Healthcare,False
268,pipeline management account management cold calling prospecting contract negotiation sales enablement upselling,9,Bachelor,Miami,Sales,False
269,coaching employee onboarding succession planning hr analytics seo google ads content strategy,0,Associate,Cleveland,Human Resources,True
270,banking pivot tables sap workforce planning,3,Master,Seattle,Finance,False
271,responsive design sketch illustration storytelling adobe indesign after effects infection control patient assessment clinical documentation,3,Associate,Detroit,Arts & Media,False
272,medical records critical care case management cpr medication management preventive care patient education after effects layout design,8,Bachelor,Dallas,Healthcare,False
273,docker pandas pytorch scala,1,High School,Phoenix,Software & IT,True
274,seo a/b testing inbound marketing social media marketing digital marketing crm software,4,PhD,Washington DC,Marketing,False
275,teaching mentoring blackboard educational technology,1,Associate,Chicago,Education,False
276,nosql numpy node.js gcp kotlin javascript canvas educational administration student assessment,6,Bachelor,San Antonio,Software & IT,False
277,gaap internal controls accounting financial statements financial reporting python corporate finance,8,Master,San Diego,Finance,False
278,branding responsive design ui design layout design user research due diligence litigation westlaw,3,Associate,Boston,Arts & Media,True
279,process improvement thermodynamics simulation legal research corporate law,26,Bachelor,Cleveland,Engineering,True
280,talent management adp coaching labor laws,3,Bachelor,Atlanta,Human Resources,False
281,educational assessment student counseling iep development blackboard research instructional design student assessment,5,Bachelor,Salt Lake City,Education,True
282,trial experience legal writing corporate law arbitration courtroom procedure legal documentation,3,Bachelor,San Antonio,Legal,False
283,seo tools affiliate marketing content creation marketing automation canva facebook ads customer journey educational psychology iep development special education,6,Associate,Cincinnati,Marketing,True
284,student counseling instructional design student engagement blackboard teaching academic advising,8,Bachelor,Pittsburgh,Education,True
285,employee training career development compensation labor laws applicant tracking systems employee engagement,2,Associate,San Jose,Human Resources,True
286,adp employee onboarding bamboo hr workday organizational development,8,Bachelor,San Francisco,Human Resources,False
287,legal ethics family law case management e-discovery courtroom procedure westlaw legal writing,1,High School,Los Angeles,Legal,True
288,patient education diagnosis medical terminology clinical documentation,1,Associate,Pittsburgh,Healthcare,False
289,courtroom procedure client counseling legal ethics drafting corporate law legal documentation deposition numpy,2,High School,Kansas City,Legal,False
290,business development presentations objection handling sales strategy client relationship management account management,2,High School,Los Angeles,Sales,True
291,tableau corporate finance python portfolio management internal controls audit seo tools,3,High School,Nashville,Finance,True
292,accounting financial modeling forecasting audit,3,Master,Indianapolis,Finance,False
293,numpy postgresql git mysql,7,High School,Austin,Software & IT,True
294,canvas google classroom research academic writing moodle instructional design student engagement,4,Bachelor,Cleveland,Education,True
295,matlab microcontrollers industrial design,4,Associate,San Jose,Engineering,False
296,change management applicant tracking systems recruiting hr policies talent acquisition adp employee relations,17,PhD,Washington DC,Human Resources,True
297,benefits administration interviewing workday employee training,12,Bachelor,Austin,Human Resources,False
298,animation ux design storytelling storyboarding 3d modeling branding videography,1,Bachelor,Charlotte,Arts & Media,True
299,marketing automation market research canva seo tools copywriting,2,Associate,Philadelphia,Marketing,True
300,tableau investment management gaap r medication management diagnosis vital signs,4,Bachelor,Seattle,Finance,False
301,bamboo hr organizational development adp compensation change management employee training hr analytics,4,Bachelor,San Antonio,Human Resources,False
302,customer journey market research digital marketing marketing automation crm software,7,Bachelor,Salt Lake City,Marketing,False
303,benefits administration talent acquisition payroll processing,2,Associate,Phoenix,Human Resources,True
304,negotiation b2b sales sales forecasting prospecting customer acquisition wireframing art direction,5,Master,Atlanta,Sales,True
305,3d modeling simulation microcontrollers industrial design interviewing payroll processing employee retention,1,Bachelor,Orlando,Engineering,True
306,scikit-learn jenkins spring numpy,3,Associate,Orlando,Software & IT,True
307,hubspot campaign management facebook ads copywriting storytelling buffer,3,Bachelor,Minneapolis,Marketing,True
308,preventive care disease management anatomy,12,Bachelor,Dallas,Healthcare,False
309,redux flask aws node.js case management legal research,6,High School,Nashville,Software & IT,False
310,student support google classroom lesson planning canvas blackboard,3,High School,Los Angeles,Education,False
311,numpy nosql django azure sales funnel management account management cross-selling,4,High School,St. Louis,Software & IT,True
312,sales enablement sales strategy prospecting,2,Bachelor,Tampa,Sales,True
313,audit quickbooks derivatives,1,Master,Orlando,Finance,True
314,influencer marketing content creation crm software email marketing mailchimp figma,7,Bachelor,Philadelphia,Marketing,True
315,sales strategy territory management solution selling pipeline management consultative selling,26,Bachelor,Remote,Sales,True
316,benefits administration bamboo hr workday applicant tracking systems workforce planning,12,PhD,Los Angeles,Human Resources,True
317,investment management excel mergers and acquisitions pivot tables financial reporting accounting,1,Master,Philadelphia,Finance,False
318,typography layout design sketching adobe photoshop ux design adobe illustrator animation,9,High School,San Antonio,Arts & Media,False
319,contract negotiation closing techniques sales analytics sales consultative selling,8,Master,Indianapolis,Sales,False
320,google classroom academic advising classroom management,11,Bachelor,Tampa,Education,True
321,mentoring educational leadership educational administration classroom management student support,32,Bachelor,Raleigh,Education,False
322,forecasting quickbooks derivatives r,11,Bachelor,Nashville,Finance,False
323,mediation legal documentation case management westlaw arbitration courtroom procedure legal writing campaign management analytics digital marketing,4,Master,Austin,Legal,True
